Time,prey,predator
49.44944945,3.25000069,14.99999862
49.54954955,3.25000067,14.99999867
49.64964965,3.25000065,14.99999871
49.74974975,3.25000063,14.99999875
49.84984985,3.25000061,14.99999879
49.94994995,3.25000059,14.99999882
50.05005005,3.25000057,14.99999886
50.15015015,3.25000055,14.99999890
50.25025025,3.25000053,14.99999893
50.35035035,3.25000052,14.99999897
50.45045045,3.25000050,14.99999900
50.55055055,3.25000048,14.99999903
50.65065065,3.25000047,14.99999906
50.75075075,3.25000045,14.99999909
50.85085085,3.25000044,14.99999912
50.95095095,3.25000042,14.99999915
51.05105105,3.25000041,14.99999918
51.15115115,3.25000040,14.99999921
51.25125125,3.25000038,14.99999924
51.35135135,3.25000037,14.99999926
51.45145145,3.25000036,14.99999929
51.55155155,3.25000034,14.99999931
51.65165165,3.25000033,14.99999934
51.75175175,3.25000032,14.99999936
51.85185185,3.25000031,14.99999938
51.95195195,3.25000030,14.99999940
52.05205205,3.25000029,14.99999942
52.15215215,3.25000028,14.99999944
52.25225225,3.25000027,14.99999946
52.35235235,3.25000026,14.99999948
52.45245245,3.25000025,14.99999950
52.55255255,3.25000024,14.99999951
52.65265265,3.25000024,14.99999953
52.75275275,3.25000023,14.99999954
52.85285285,3.25000022,14.99999956
52.95295295,3.25000021,14.99999957
53.05305305,3.25000021,14.99999958
53.15315315,3.25000020,14.99999960
53.25325325,3.25000020,14.99999961
53.35335335,3.25000019,14.99999962
53.45345345,3.25000019,14.99999963
53.55355355,3.25000018,14.99999964
53.65365365,3.25000018,14.99999965
53.75375375,3.25000017,14.99999966
53.85385385,3.25000017,14.99999967
53.95395395,3.25000016,14.99999968
54.05405405,3.25000016,14.99999968
54.15415415,3.25000015,14.99999969
54.25425425,3.25000015,14.99999970
54.35435435,3.25000015,14.99999971
54.45445445,3.25000014,14.99999971
54.55455455,3.25000014,14.99999972
54.65465465,3.25000014,14.99999973
54.75475475,3.25000013,14.99999973
54.85485485,3.25000013,14.99999974
54.95495495,3.25000013,14.99999975
55.05505506,3.25000012,14.99999975
55.15515516,3.25000012,14.99999975
55.25525526,3.25000012,14.99999975
55.35535536,3.25000012,14.99999975
55.45545546,3.25000012,14.99999975
55.55555556,3.25000013,14.99999975
55.65565566,3.25000013,14.99999974
55.75575576,3.25000013,14.99999974
55.85585586,3.25000013,14.99999974
55.95595596,3.25000013,14.99999973
56.05605606,3.25000013,14.99999973
56.15615616,3.25000013,14.99999973
56.25625626,3.25000014,14.99999972
56.35635636,3.25000014,14.99999972
56.45645646,3.25000014,14.99999971
56.55655656,3.25000014,14.99999971
56.65665666,3.25000014,14.99999971
56.75675676,3.25000015,14.99999970
56.85685686,3.25000015,14.99999970
56.95695696,3.25000015,14.99999969
57.05705706,3.25000015,14.99999969
57.15715716,3.25000015,14.99999969
57.25725726,3.25000015,14.99999968
57.35735736,3.25000016,14.99999968
57.45745746,3.25000016,14.99999968
57.55755756,3.25000016,14.99999968
57.65765766,3.25000016,14.99999968
57.75775776,3.25000016,14.99999968
57.85785786,3.25000015,14.99999969
57.95795796,3.25000015,14.99999969
58.05805806,3.25000015,14.99999969
58.15815816,3.25000015,14.99999970
58.25825826,3.25000014,14.99999971
58.35835836,3.25000014,14.99999971
58.45845846,3.25000015,14.99999971
58.55855856,3.25000015,14.99999970
58.65865866,3.25000015,14.99999970
58.75875876,3.25000015,14.99999969
58.85885886,3.25000015,14.99999969
58.95895896,3.25000016,14.99999969
59.05905906,3.25000016,14.99999968
59.15915916,3.25000016,14.99999968
59.25925926,3.25000016,14.99999968
59.35935936,3.25000016,14.99999967
59.45945946,3.25000016,14.99999967
59.55955956,3.25000016,14.99999967
59.65965966,3.25000017,14.99999967
59.75975976,3.25000017,14.99999967
59.85985986,3.25000017,14.99999966
59.95995996,3.25000017,14.99999966
60.06006006,3.25000017,14.99999966
60.16016016,3.25000017,14.99999966
60.26026026,3.25000017,14.99999966
60.36036036,3.25000017,14.99999966
60.46046046,3.25000017,14.99999966
60.56056056,3.25000017,14.99999966
60.66066066,3.25000017,14.99999967
60.76076076,3.25000017,14.99999967
60.86086086,3.25000016,14.99999967
60.96096096,3.25000016,14.99999968
61.06106106,3.25000016,14.99999968
61.16116116,3.25000016,14.99999968
61.26126126,3.25000015,14.99999969
61.36136136,3.25000015,14.99999970
61.46146146,3.25000015,14.99999971
61.56156156,3.25000014,14.99999971
61.66166166,3.25000014,14.99999972
61.76176176,3.25000014,14.99999972
61.86186186,3.25000014,14.99999973
61.96196196,3.25000013,14.99999973
62.06206206,3.25000013,14.99999974
62.16216216,3.25000013,14.99999974
62.26226226,3.25000013,14.99999975
62.36236236,3.25000012,14.99999975
62.46246246,3.25000012,14.99999976
62.56256256,3.25000012,14.99999976
62.66266266,3.25000012,14.99999977
62.76276276,3.25000011,14.99999977
62.86286286,3.25000011,14.99999978
62.96296296,3.25000011,14.99999979
63.06306306,3.25000011,14.99999979
63.16316316,3.25000010,14.99999980
63.26326326,3.25000010,14.99999980
63.36336336,3.25000010,14.99999981
63.46346346,3.25000009,14.99999982
63.56356356,3.25000009,14.99999982
63.66366366,3.25000009,14.99999983
63.76376376,3.25000008,14.99999983
63.86386386,3.25000008,14.99999984
63.96396396,3.25000008,14.99999985
64.06406406,3.25000007,14.99999985
64.16416416,3.25000007,14.99999986
64.26426426,3.25000007,14.99999986
